Mã trường,Trường,Loại trường,Tỉnh/TP,Mã ngành,Ngành,Trình độ,Tên chương trình,Loại CT,Ngôn ngữ,Số năm,Năm TS,Chỉ tiêu,Phương thức,Học phí,Mã nhóm,Nhóm ngành
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480101,Khoa học máy tính,Đại học chính quy,Khoa học máy tính,Chương trình chuẩn,Tiếng Việt,4,2024,240,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480101TN,Khoa học máy tính,Đại học chính quy,Khoa học máy tính (Cử nhân tài năng),Chương trình tài năng,Tiếng Việt,4,2024,30,Tuyển thẳng & ƯTXT (304),32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480102,Mạng máy tính và truyền thông dữ liệu,Đại học chính quy,Mạng máy tính và truyền thông dữ liệu,Chương trình chuẩn,Tiếng Việt,4,2024,190,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480103,Kỹ thuật phần mềm,Đại học chính quy,Kỹ thuật phần mềm,Chương trình chuẩn,Tiếng Việt,4,2024,220,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480104,Hệ thống thông tin,Đại học chính quy,Hệ thống thông tin,Chương trình chuẩn,Tiếng Việt,4,2024,225,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480104TT,Hệ thống thông tin,Đại học chính quy,Hệ thống thông tin (Chương trình tiên tiến),Chương trình tiên tiến,Tiếng Việt/Tiếng Anh,4,2024,45,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",50.000.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480106,Kỹ thuật máy tính,Đại học chính quy,Kỹ thuật máy tính,Chương trình chuẩn,Tiếng Việt,4,2024,195,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7460108,Khoa học dữ liệu,Đại học chính quy,Khoa học dữ liệu,Chương trình chuẩn,Tiếng Việt,4,2024,55,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480201,Công nghệ thông tin,Đại học chính quy,Công nghệ thông tin,Chương trình chuẩn,Tiếng Việt,4,2024,300,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480202,An toàn thông tin,Đại học chính quy,An toàn thông tin,Chương trình chuẩn,Tiếng Việt,4,2024,155,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480202TN,An toàn thông tin,Đại học chính quy,An toàn thông tin (Kỹ sư tài năng),Chương trình tài năng,Tiếng Việt,4,2024,30,Tuyển thẳng & ƯTXT (304),32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7480107,Trí tuệ nhân tạo,Đại học chính quy,Trí tuệ nhân tạo,Chương trình chuẩn,Tiếng Việt,4,2024,40,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,IT,Máy tính và công nghệ thông tin
QSC,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,Công lập,TP. HCM,7340122,Thương mại điện tử,Đại học chính quy,Thương mại điện tử,Chương trình chuẩn,Tiếng Việt,4,2024,110,"Tuyển thẳng & ƯTXT (301, 302, 303, 304); Xét ĐGNL ĐHQG-HCM (401); Xét điểm THPT (100); Xét chứng chỉ quốc tế (408, 410)",32.800.000 đ/năm,ECO,Kinh doanh và quản lý
