Trường đại học,Chương trình đào tạo,Ngành đào tạo,Mã ngành,Chỉ tiêu tuyển sinh,Trình độ đào tạo,Địa điểm đào tạo,Năm tuyển sinh
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiếng anh,Chuyên ngành Kinh doanh số (Chuyên ngành của ngành Quản trị Kinh doanh),253,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiếng anh,Chuyên ngành Công nghệ Sinh học số (Chuyên ngành của ngành Công nghệ Sinh học),254,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiếng anh,Chuyên ngành Kinh tế Tuần hoàn (Chuyên ngành của ngành Kinh tế Tài nguyên Thiên nhiên),255,30,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiếng anh,(Ngành mới) Kỹ thuật Hạt nhân,256,30,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiếng anh,Chuyên ngành Năng lượng Tái tạo (Chuyên ngành của ngành Kỹ thuật Điện),257,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiếng anh,Thiết kế Vi mạch,258,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiếng anh,(Ngành mới) Kỹ thuật Bán dẫn,259,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình định hướng Nhật Bản,"Khoa học Máy tính (Chuyên ngành: Khoa học Máy tính, Công nghệ Dữ liệu và Dữ liệu lớn, An ninh Hệ thống và Mạng, Trí tuệ Nhân tạo, Công nghệ Phần mềm)",266,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình định hướng Nhật Bản,Cơ Kỹ thuật,268,30,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,"Khoa học Máy tính Đại học đối tác: Úc: ĐH Queensland, ĐH Griffith, ĐH Công nghệ Sydney, ĐH Macquarie, ĐH Adelaide, ĐH Monash, ĐH Deakin, ĐH Southern Queensland New Zealand: ĐH Auckland",306,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,"Kỹ thuật Máy tính Đại học đối tác tại Úc: ĐH Queensland, ĐH Macquarie, ĐH Adelaide, ĐH Monash, ĐH Deakin, ĐH Southern Queensland",307,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,"Kỹ thuật Điện - Điện tử Đại học đối tác: Úc: ĐH Queensland, ĐH Griffith, ĐH Macquarie, ĐH Adelaide Hàn Quốc: ĐH Kwangwoon Anh: ĐH Birmingham",308,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,"Kỹ thuật Cơ khí Đại học đối tác: Úc: ĐH Griffith, ĐH Monash Mỹ: ĐH Kentucky",309,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,Kỹ thuật Cơ Điện tử Đại học đối tác: Úc: ĐH Công nghệ Sydney Mỹ: ĐH Kentucky,310,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,"Kỹ thuật Hóa học Đại học đối tác: Úc: ĐH Queensland, ĐH Adelaide Anh: ĐH Birmingham",314,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,"Kỹ thuật Xây dựng Đại học đối tác: Úc: ĐH Queensland, ĐH Griffith, ĐH Công nghệ Sydney, ĐH Adelaide, ĐH Monash Đan Mạch: ĐH Northern Denmark Anh: ĐH Birmingham",315,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,Công nghệ Thực phẩm Đại học đối tác tại New Zealand: ĐH Otago,319,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,"Quản lý Công nghiệp Đại học đối tác: Úc: ĐH Griffith, ĐH Công nghệ Sydney, ĐH Macquarie Pháp: ĐH Lyon Catholic (ESDES) Hàn Quốc: ĐH Tongmyong",323,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,Nhóm ngành: Kỹ thuật Môi trường; Quản lý Tài nguyên & Môi trường Đại học đối tác tại Úc: ĐH Griffith,325,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,Kỹ thuật Ô tô Đại học đối tác tại Úc: ĐH Griffith,342,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình tiêu chuyển tiếp quốc tế,Kỹ thuật Hàng không Đại học đối tác tại Úc: ĐH Griffith,345,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình liên kết cử nhân kỹ thuật quốc tế,Trí tuệ Nhân tạo,406,100,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Bách khoa - ĐHQG TP. Hồ Chí Minh,Chương trình liên kết cử nhân kỹ thuật quốc tế,Công nghệ Thông tin,416,100,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Sinh học,7420101,215,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Sinh học,7420101_DKD,90,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Công nghệ Sinh học,7420201,200,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Công nghệ Sinh học,7420201_DKD,160,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Vật lý học,7440102_DKD,140,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn (Nhóm ngành),"Nhóm ngành Vật lý học (CT: 145), Công nghệ Vật lý điện tử và tin học (CT: 70)",7440102_NN,215,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Công nghệ Vật lý điện tử và tin học,7440107_DKD,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Công nghệ bán dẫn,74401a1,70,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Hoá học,7440112,230,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Hóa học,7440112_DKD,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Khoa học Vật liệu,7440122,148,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Khoa học Vật liệu,7440122_DKD,80,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn (Nhóm ngành),"Nhóm ngành Địa chất học, Kinh tế đất đai",7440201_NN,104,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Hải dương học,7440228,30,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Hải dương học,7440228_DKD,30,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Khoa học Môi trường,7440301,130,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Khoa học Môi trường,7440301_DKD,80,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn (Nhóm ngành),"Nhóm ngành Toán học (Toán học, Toán ứng dụng, Toán tin)",7460101_NN,180,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Toán ứng dụng,7460112_DKD,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Toán tin,7460117_DKD,40,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn (Nhóm ngành),"Nhóm ngành Khoa học dữ liệu (CT:40), Thống kê (CT:40)",7460108_NN,80,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Khoa học dữ liệu,7460108_DKD,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình Tiên tiến,Khoa học máy tính,7480101_TT,90,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Trí tuệ nhân tạo,7480107,90,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Công nghệ thông tin,7480201_DKD,530,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn (Nhóm ngành),"Nhóm ngành máy tính và Công nghệ thông tin (CNTT, Kỹ thuật phần mềm, Hệ thống thông tin, Khoa học máy tính)",7480201_NN,490,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Công nghệ kỹ thuật Hoá học,7510401_DKD,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Công nghệ Vật liệu,7510402,147,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Công nghệ Vật liệu,7510402_DKD,60,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Công nghệ Kỹ thuật Môi trường,7510406,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Kỹ thuật điện tử – viễn thông,7520207,150,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Thiết kế vi mạch,75202a1,80,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Kỹ thuật điện tử – viễn thông,7520207_DKD,120,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Kỹ thuật hạt nhân,7520402,55,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Vật lý y khoa,7520403,35,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình tăng cường tiếng Anh,Vật lý y khoa,7520403_DKD,30,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Kỹ thuật địa chất,7520501,38,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Quản lý tài nguyên và môi trường,7850101,109,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Khoa học Tự nhiên - ĐHQG-HCM,Chương trình chuẩn,Công nghệ giáo dục,7140103,100,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Ngôn ngữ Anh,7220201,90,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Quản trị kinh doanh,7340101,240,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Marketing,7340115,200,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Thương mại điện tử,7340122,180,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Tài chính – Ngân hàng,7340201,130,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kế toán,7340301,55,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kinh tế (Phân tích dữ liệu trong kinh tế),7310101,66,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Công nghệ thông tin,7480201,55,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Khoa học máy tính,7480101,55,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Khoa học dữ liệu,7460108,55,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Toán ứng dụng (Kỹ thuật tài chính và quản trị rủi ro),7460112,50,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Thống kê (Thống kê ứng dụng),7460201,30,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Công nghệ sinh học,7420201,100,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Công nghệ thực phẩm,7540101,45,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Hóa học (Hóa sinh),7440112,35,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kỹ thuật hóa học,7520301,65,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Logistics và Quản lý chuỗi cung ứng,7510605,154,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kỹ thuật hệ thống công nghiệp,7520118,46,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kỹ thuật điện tử – viễn thông,7520207,78,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kỹ thuật điều khiển và tự động hóa,7520216,77,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kỹ thuật y sinh,7520212,86,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kỹ thuật không gian (Phân tích và ứng dụng dữ liệu lớn),7520121,44,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Kỹ thuật xây dựng,7580201,32,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình do ĐH Quốc tế cấp bằng,Quản lý xây dựng,7580302,32,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH West of England (3+1),Ngôn ngữ Anh,7220201W3,20,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH West of England (4+0),Ngôn ngữ Anh,7220201W4,57,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH Andrews (4+0),Quản trị kinh doanh,7340101AD,30,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH Macquarie (2+1; 2+1.5),Quản trị kinh doanh,7340101MQ,20,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH Sydney (2+2),Quản trị kinh doanh,7340101SY,20,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH West of England (2+2),Quản trị kinh doanh,7340101W2,20,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH West of England (4+0),Quản trị kinh doanh,7340101W4,55,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH Macquarie (2+1),Tài chính,7340201MQ,20,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH Macquarie (2+1),Kế toán,7340301MQ,13,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH West of England (4+0),Công nghệ thông tin,7480201W4,9,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH Macquarie (2+1),Công nghệ thông tin,7480201MQ,8,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH Deakin (2+2/3+1),Công nghệ thông tin,7480201DK,8,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH West of England (2+2),Công nghệ sinh học,7420201W2,10,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Quốc tế - ĐHQG-HCM,Chương trình liên kết ĐH West of England (4+0),Công nghệ sinh học định hướng Y Sinh,7420201W4,10,Đại học,TP. Hồ Chí Minh,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Công nghệ thông tin,7480201,460,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Kỹ thuật máy tính,7480106,400,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Vật lý kỹ thuật,7520401,160,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Cơ kỹ thuật,7520101,60,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Công nghệ kỹ thuật xây dựng,7510103,160,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Công nghệ kỹ thuật cơ - điện tử,7510203,160,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình đào tạo thí điểm,Công nghệ hàng không vũ trụ,7519001,120,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Khoa học máy tính,7480101,400,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Công nghệ kỹ thuật điện tử – viễn thông,7510302,480,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình đào tạo thí điểm,Công nghệ nông nghiệp,7519002,60,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Kỹ thuật điều khiển và tự động hoá,7520216,140,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Trí tuệ nhân tạo,7480107,320,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình đào tạo thí điểm,Kỹ thuật năng lượng,7520406,60,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Hệ thống thông tin,7480104,240,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Mạng máy tính và truyền thông dữ liệu,7480102,120,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình đào tạo thí điểm,Kỹ thuật Robot,7520217,140,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình đào tạo thí điểm,Thiết kế công nghiệp và Đồ họa,75290A1,240,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Công nghệ vật liệu (Chương trình Công nghệ vật liệu và Vi điện tử),7510402,120,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Khoa học dữ liệu (Chương trình Khoa học và Kỹ thuật dữ liệu),7460108,120,Đại học,Hà Nội,2026
Trường Đại học Công nghệ - ĐHQGHN,Chương trình chuẩn,Công nghệ sinh học (Chương trình Công nghệ kỹ thuật sinh học),7420201,60,Đại học,Hà Nội,2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Sinh học,7420202,140,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Thực phẩm,7540102,340,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Kỹ thuật Thực phẩm (CT tiên tiến),7540102,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Kỹ thuật sinh học (CT tiên tiến),7420202,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Hoá học,7520301,680,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Hoá học,7440112,160,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Kỹ thuật Hóa dược (CT tiên tiến),7520301,100,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Hóa học mỹ phẩm,7440112,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Công nghệ giáo dục,7140103,120,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Quản lý giáo dục,7140114,60,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Tâm lý học công nghiệp và tổ chức,7310401,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Điện,7520201,240,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kỹ thuật Điều khiển - Tự động hoá,7520216,500,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),7520201,60,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Kỹ thuật Điều khiển - Tự động hoá (CT tiên tiến),7520216,140,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình Việt - Pháp PFIEV,Tin học công nghiệp và Tự động hóa,7520216,40,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Quản lý năng lượng,7510604,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Quản lý công nghiệp,7510601,100,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Quản trị kinh doanh,7340101,120,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Tài chính - Ngân hàng,7340201,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Phân tích kinh doanh (CT tiên tiến),7340101,140,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình tiên tiến,Logistics và Quản lý chuỗi cung ứng (CT tiên tiến),7510605,140,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
Đại học Bách khoa Hà Nội,Chương trình chuẩn,Kế toán,7340301,80,Đại học,"Số 1 Đại Cồ Việt, Hai Bà Trưng, Hà Nội",2026
